TYPE;string;string;float64;float64;string;float64
GSPD;GUST WIND SPEED;meter/second;0;99;%2.0f;1e36
HEDW;HELIUM DEV. OF ISOTOPIC RATIO;%;-1.5;100;%8.4f;1e36
HEDE;HELIUM ISOTOPIC RATIO ERROR;%;0;100;%8.4f;1e36
NFHW;HETEROTROPHIC NANOFLAGELLATES;10+3 cell/m3;0;900000;%6.0f;1e36
HCSP;HORIZONTAL CURRENT SPEED;meter/second;0;9;%5.3f;1e36
WSPD;HORIZONTAL WIND SPEED;meter/second;0;300;%6.2f;1e36
HSUL;HYDROGEN SULPHIDE (H2S);millimole/m3;0;500;%6.2f;1e36
MIIS;I IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
LGH5;IMMERGED/SURF IRRADIANCE RATIO;%;0;100;%6.2f;1e36
RDIN;INCIDENT RADIATION;watt/m2;-500;500;%+5.1f;1e36
SPDI;INDICATED PLATFORM SPEED-SHIP;meter/second;0;90;%6.3f;1e36
ISMP;INORGANIC SUSPENDED MATTER;gram/m3;0;10;%6.3f;1e36
IODI;IODINE;millimole/m3;0;10;%5.2f;1e36
OXIR;ISOTOPIC RATIO O18/O16;per thousand;-10;10;%6.2f;1e36
MKKP;K IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MKKS;K IN THE SEDIMENT;%;0;99;%6.3f;1e36
LATX;LATITUDE;decimal degree;-90;90;%+8.4f;1e36
LATITUDE;LATITUDE;decimal degree;-90;90;%+8.4f;1e36
LATD;LATITUDE DEGREES;degree;-90;90;%+3.0f;1e36
LATM;LATITUDE MINUTES;minute;0;59.999;%6.3f;1e36
LTUW;LEUCINE UPTAKE RATE;microgram carbon/(m3.h);0;90;%5.2f;1e36
TUR2;LIGHT ATTENUATION COEFFICIENT;m-1;0;10;%6.3f;1e36
LCAW;LIGHT CARBON ABSORPTION;milligram/m3;0;40;%5.2f;1e36
TUR1;LIGHT DIFFUSION COEFFICIENT;m-1;0;10;%6.3f;1e36
LGH3;LIGHT IRRADIANCE CORRECTED PAR;micromole photon/(m2.s);0;3000;%8.3f;1e36
LGHT;LIGHT IRRADIANCE IMMERGED PAR;micromole photon/(m2.s);0;4000;%8.3f;1e36
LGH4;LIGHT IRRADIANCE SURFACE PAR;micromole photon/(m2.s);0;3000;%8.3f;1e36
LSCT;LIGHT SCATTERING;%;0;100;%5.2f;1e36
TUR3;LIGHT TRANSMISSION;%;0;100;%6.2f;1e36
TUR0;LIGHT TRANSMISSION -  NOT USED;%;0;100;%6.2f;1e36
LIPI;LIPIDS IN THE WATER COLUMN;milligram/m3;0;200;%5.0f;1e36
LSIC;LITHOGENIC CONTENT;%;0;99.99;%5.2f;1e36
LTHF;LITHOGENIC FRACTION FLUX;milligram/(m2.day);0;3400;%7.2f;1e36
LINC;LONG-WAVE INCOMING RADIATION;watt/m2;-500;500;%+5.1f;1e36
LONX;LONGITUDE;decimal degree;-180;180;%+9.4f;1e36
LONGITUDE;LONGITUDE;decimal degree;-180;180;%+9.4f;1e36
LOND;LONGITUDE DEGREES;degree;-179;180;%+4.0f;1e36
LONM;LONGITUDE MINUTES;minute;0;59.999;%6.3f;1e36
MLAS;La IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
